ahupuaa,moku,island,n_cesspools,area_m2,cesspool_density_per_km2
Waiākea,Hilo,Hawaiʻi,6675,399616882.2067237,16.703498518731227
Keaʻau,Puna,Hawaiʻi,6623,264901435.97213653,25.001751975012453
Kapaʻa,Puna,Kauaʻi,2755,31597371.75707834,87.19079615800115
Makawao,Hāmākuapoko,Maui,1974,30815792.33617965,64.05806407523072
Wailua,Puna,Kauaʻi,1967,93506062.43294823,21.03606920043827
ʻŌlaʻa,Puna,Hawaiʻi,1853,244688217.22592512,7.572902451159269
Kalāheo,Kona,Kauaʻi,1579,21713035.050460353,72.72129374499963
Puʻukapu,Kohala,Hawaiʻi,1533,101849258.57790197,15.05165596102446
Kalaoa 1-5,Kona,Hawaiʻi,1514,14188914.011210307,106.70302172554054
"Waiakahiula, Kaʻohe",Puna,Hawaiʻi,1431,136388554.62909085,10.492082740312116
Ponahawai,Hilo,Hawaiʻi,1343,13772739.598253904,97.51146388989045
Makaʻehu,Kula,Maui,1311,28867457.65187229,45.41445997115617
Hōlualoa 1-2,Kona,Hawaiʻi,1231,30892632.57653141,39.8476885047074
Waimea,Kona,Kauaʻi,1223,539153221.0885946,2.268371869374466
Honouliuli,ʻEwa,Oʻahu,1153,177786441.30768,6.485308955617151
"Waimea, Waikoloa",Kohala,Hawaiʻi,1119,417554875.33410025,2.6798872821318374
Waikahekahe,Puna,Hawaiʻi,1114,11770000.230247758,94.6474068145834
"Lanihau 1-2, Moeauo",Kona,Hawaiʻi,1084,15946670.027374702,67.97657430292102
Waikahekahenui,Puna,Hawaiʻi,1057,16851974.609332144,62.722620019535476
Kahuku,Kaʻū,Hawaiʻi,988,888555493.907005,1.111917046008837
Kōloa,Kona,Kauaʻi,948,35391405.71717191,26.786164064119966
Waiʻanae,Waiʻanae,Oʻahu,831,150966170.41784108,5.504544479733275
Kamananui,Waialua,Oʻahu,811,89291449.21565528,9.08261661249652
"Lālāmilo, Keanuʻiʻomanō",Kohala,Hawaiʻi,810,51991667.42582425,15.579419551327435
ʻŌmaʻopio,Kula,Maui,667,17020494.945259187,39.18804959228187
Lāwai,Kona,Kauaʻi,649,13949920.576948851,46.52356236869345
Hāmākualoa,Hāmākualoa,Maui,644,11186016.980275035,57.57187756246064
Kīlauea,Koʻolau,Kauaʻi,642,15246192.988392724,42.10887271916139
"Kealakekua, Kīloa 1",Kona,Hawaiʻi,632,56123012.943226516,11.260977749703583
Paeahu,Kula,Maui,630,21980446.492514655,28.661838157589006
Keahialaka,Puna,Hawaiʻi,626,22975593.18552848,27.24630415175942
"Keʻekeʻe 1-2, Kanakau",Kona,Hawaiʻi,603,19365803.078108266,31.137360922648792
ʻAnaehoʻomalu,Kohala,Hawaiʻi,591,3493518.083159972,169.17044249715923
Wailuku,Pūʻali Komohana,Maui,578,113997075.82411388,5.070305495307585
Kealakehe,Kona,Hawaiʻi,575,14299920.849803345,40.210012771357924
Waikahekaheiki,Puna,Hawaiʻi,568,15569626.098506495,36.481287116746174
Haʻikū,Hāmākualoa,Maui,517,21296118.9715876,24.27672388052302
Nāwiliwili,Puna,Kauaʻi,506,10529641.52504155,48.05481732655693
Waiohuli,Kula,Maui,458,44332205.777497806,10.33108982437486
"Laupāhoehoe, Welokā",Hilo,Hawaiʻi,450,78878886.6859281,5.704948673930503
Hōlualoa 4,Kona,Hawaiʻi,446,3050629.4606683496,146.19933549789025
Pūpūkea,Koʻolauloa,Oʻahu,446,8264963.954797878,53.962727779483345
Puua,Puna,Hawaiʻi,438,19724260.675731003,22.206155515827323
"Kalua, Pakiloa, ʻŌuhi, Kaao",Hāmākua,Hawaiʻi,433,6260780.443809278,69.16070670201422
Hanapēpē,Kona,Kauaʻi,421,67059003.54688315,6.2780533221861115
Waimānalo,Koʻolaupoko,Oʻahu,416,28766062.340596814,14.461485728371997
"Kiolakaʻa, Puʻumakaʻā",Kaʻū,Hawaiʻi,414,52726887.56876774,7.851781493076956
Waikīkī,Kona,Oʻahu,409,75382729.80688062,5.4256459144925815
Honolulu,Kona,Oʻahu,393,33630112.86605624,11.68595542825743
"Honalo, Māʻihi 1-2",Kona,Hawaiʻi,385,81132495.81278145,4.745324251929987
Anahola,Koʻolau,Kauaʻi,375,25524797.85168243,14.691595294075265
Piʻihonua,Hilo,Hawaiʻi,348,228348237.62388143,1.523988114036598
Kaʻauhuhu,Kohala,Hawaiʻi,335,6524825.610771323,51.3423683610754
Punahoa 2,Hilo,Hawaiʻi,335,23192789.87946935,14.444144138801848
Kaloko,Kona,Hawaiʻi,334,17450265.294316143,19.140110156880517
"Puaʻa 2-3, Waiʻaha 1",Kona,Hawaiʻi,319,8687119.838831853,36.72103135656703
ʻŌuli,Kohala,Hawaiʻi,314,15592199.508154094,20.13827490058671
Nienie,Hāmākua,Hawaiʻi,308,44445832.912745714,6.929783509843393
Waipouli,Puna,Kauaʻi,308,11820415.645965062,26.056613339577176
Kūkūau 2,Hilo,Hawaiʻi,303,17423964.867719356,17.389842225942232
Weliweli,Kona,Kauaʻi,289,6952585.767799787,41.56726858925997
Punahoa 1,Hilo,Hawaiʻi,282,3829697.588096887,73.63505694979322
Kamaʻole,Kula,Maui,277,32765719.266130764,8.453957556986367
"Kaumalumalu, Pāhoehoe",Kona,Hawaiʻi,276,19403327.71200542,14.224364196520296
Keʻei 2,Kona,Hawaiʻi,275,27437396.4110592,10.022816883935667
Kahaluʻu,Koʻolaupoko,Oʻahu,266,9851632.90219521,27.00060006709426
Kaʻalaea,Koʻolaupoko,Oʻahu,265,5389621.098450819,49.168577003710155
Keauhou,Kaʻū,Hawaiʻi,265,258181007.30066347,1.0264116743932117
Waiakoa,Kula,Maui,265,24937050.501852248,10.626757963228915
Kaūmana,Hilo,Hawaiʻi,264,11204464.362372177,23.56203665447749
Wahikuli,Lāhainā,Maui,259,9749559.73568699,26.565302128665802
"Alaeakila, Kaapahu",Hāmākua,Hawaiʻi,258,20158338.96418446,12.79867356424512
"Keauohana, Kehena",Puna,Hawaiʻi,258,11047076.70310275,23.35459478864092
South Olohena,Puna,Kauaʻi,254,4862162.1048883265,52.240134022811205
Pāʻauʻau 2,Kaʻū,Hawaiʻi,253,13756626.143067818,18.391137286775123
Wainiha,Haleleʻa,Kauaʻi,250,61233907.95553299,4.082705291021858
"Honomū, Kuhua",Hilo,Hawaiʻi,245,16656494.40095838,14.708977417595339
Waikapū,Pūʻali Komohana,Maui,245,63177387.52465115,3.8779697863322315
Wainaku,Hilo,Hawaiʻi,232,1605894.3754364746,144.46778290567428
Haʻikū,Puna,Kauaʻi,213,50145609.780081354,4.247630070391667
Paʻalaʻa,Waialua,Oʻahu,209,64150832.058502704,3.257946830828341
Hauʻula,Koʻolauloa,Oʻahu,206,6314345.8928887,32.62412346336617
Kalihiwai,Haleleʻa,Kauaʻi,204,34603512.65141159,5.895355250637486
Kawaipapa,Hāna,Maui,193,61039793.1110861,3.161871791550145
Kaipapaʻu,Koʻolauloa,Oʻahu,191,6555930.579328541,29.133926555330035
Kalopā,Hāmākua,Hawaiʻi,191,33706899.43943949,5.666495678226527
Paʻauilo,Hāmākua,Hawaiʻi,189,3430099.2202850156,55.10044691485499
Ulumalu,Hāmākualoa,Maui,187,6082189.4248874,30.74550740475531
Heʻeia,Koʻolaupoko,Oʻahu,186,17051961.57460716,10.90783598040597
Kamehamenui,Kula,Maui,185,21534502.647107754,8.590864763939505
Kaʻawaloa,Kona,Hawaiʻi,180,9179124.027792588,19.609714331672095
Pūlehuiki,Kula,Maui,178,3900329.9372119466,45.637164769511486
Hanalei,Haleleʻa,Kauaʻi,176,68134518.72834247,2.5831253127614424
Mākaha,Waiʻanae,Oʻahu,176,24075856.489784855,7.310227990213974
Hōnaunau,Kona,Hawaiʻi,174,28531871.399893492,6.098443300871233
Kahaluʻu,Kona,Hawaiʻi,174,20625303.064000208,8.436239674155523
"Puehuehu, Laʻaumama",Kohala,Hawaiʻi,174,3028972.9794074385,57.445213669103055
ʻOʻoma 1,Kona,Hawaiʻi,172,8085514.644433025,21.272610039538307
Hōlualoa 3,Kona,Hawaiʻi,171,1351198.3225539923,126.55433117825459
Keauhou 1,Kona,Hawaiʻi,171,22022504.320382513,7.764784491005148
Aʻapueo,Kula,Maui,170,9611343.662887843,17.68743330408825
"Mokuhonua, Halepuna",Hilo,Hawaiʻi,169,772340.290734522,218.81546518734018
"Anapuka, Hoʻopūloa",Kona,Hawaiʻi,166,53036496.49249569,3.1299201677751824
Paumalū,Koʻolauloa,Oʻahu,163,8980357.200616796,18.150725673674174
Wahiawa,Kona,Kauaʻi,161,23591601.472960114,6.824462518347162
ʻEleʻele,Kona,Kauaʻi,158,4812284.22134153,32.83264095235714
Kaʻaʻawa,Koʻolauloa,Oʻahu,157,8840235.613968477,17.75970764307729
Honokōhau 1-3,Kona,Hawaiʻi,154,15012313.68383159,10.258245547177683
Kūkūau 1,Hilo,Hawaiʻi,153,18491626.47505202,8.274015279641299
Pāʻauhau,Hāmākua,Hawaiʻi,150,34319998.516532935,4.370629559547932
Kāneʻohe,Koʻolaupoko,Oʻahu,148,32934802.839866973,4.493726612531857
"Kāhei, Hualua",Kohala,Hawaiʻi,147,6461781.751830548,22.74914344768091
Waiheʻe,Pūʻali Komohana,Maui,146,26150229.263904806,5.58312504745509
ʻĀinakea,Kohala,Hawaiʻi,144,2179226.8202452194,66.07848190111586
Pāpā 2,Kona,Hawaiʻi,140,13953319.358683258,10.033454864836655
Waiehu,Pūʻali Komohana,Maui,140,13984363.412820429,10.011181479426684
"Kīkala 1-2, Kēōkea",Puna,Hawaiʻi,139,12584465.40764568,11.04536390680137
"Namoku, Papuaʻa",Hāmākua,Hawaiʻi,139,1672162.0663614648,83.12591392678615
Kawaihae 1,Kohala,Hawaiʻi,138,52644349.23766944,2.621363964002706
Paʻuwela,Hāmākualoa,Maui,137,2317240.1404536776,59.12205541769083
Peahi,Hāmākualoa,Maui,136,8673007.240120675,15.680835520449502
Pūlehunui,Kula,Maui,135,69846819.47574648,1.9328009637844314
Waiomao,Kaʻū,Hawaiʻi,133,5060837.193351664,26.280236830127603
Kaʻohe 4,Kona,Hawaiʻi,132,3859817.8310665786,34.1985051567899
Honokeana,Kāʻanapali,Maui,131,2245623.464904964,58.33569253585618
"Kaiwiki, Maumau",Hilo,Hawaiʻi,131,9816029.255705073,13.345518497091158
North Olohena,Puna,Kauaʻi,130,3849378.3818699196,33.77168651756434
Kaunala,Koʻolauloa,Oʻahu,128,5194826.832900915,24.63989736661188
Hāwī,Kohala,Hawaiʻi,126,1285866.6234778464,97.98838985276049
Ohanaula,Kohala,Hawaiʻi,121,2530233.04088217,47.82168205258009
Niumalu,Puna,Kauaʻi,118,9578230.759949703,12.31960295771989
Kawela,Kona,Molokaʻi,115,32841348.788595974,3.501683220755333
ʻAlae 3-4,Kula,Maui,113,3607981.5233788844,31.31945085300082
ʻAliomanu,Koʻolau,Kauaʻi,112,5891744.365216142,19.009650293252534
Hakalau,Hilo,Hawaiʻi,111,53869476.51011809,2.0605360807460475
ʻAiea,ʻEwa,Oʻahu,109,4773448.015187923,22.83464691627292
Kahuā 2,Kohala,Hawaiʻi,107,21847045.150126442,4.897687502576555
"Pāʻauʻau 1, Palima",Kaʻū,Hawaiʻi,107,6030091.798952591,17.744340147290227
Mokulēʻia 1,Waialua,Oʻahu,105,11285321.968497843,9.304120900856871
Keauhou 2,Kona,Hawaiʻi,100,505025786.2127951,0.19800969124745743
Waiʻoli,Haleleʻa,Kauaʻi,100,14035967.407444833,7.124553448803172
Kohanaiki,Kona,Hawaiʻi,98,6867281.366947755,14.27056716675019
"Makapala, Niuliʻi",Kohala,Hawaiʻi,98,16690306.854926098,5.8716715547429
Kāwala,Kaʻū,Hawaiʻi,97,8077675.660630239,12.008404902015071
Lāʻiewai,Koʻolauloa,Oʻahu,97,13719327.403339252,7.070317454220856
Nānākuli,Waiʻanae,Oʻahu,96,14019594.590382824,6.847558920559242
"Wailau, Nīnole, Kaʻa",Kaʻū,Hawaiʻi,96,148133333.67661646,0.6480648049788272
ʻOʻōkala,Hilo,Hawaiʻi,95,4568884.444849348,20.79282178105787
Keālia,Puna,Kauaʻi,91,26952317.72472088,3.3763330088875465
Palauhulu 1-2,Kaʻū,Hawaiʻi,91,1541793.5862142444,59.022167956635165
Puapuaʻa 2,Kona,Hawaiʻi,90,1693533.5389211485,53.14332307663287
Kalapakī,Puna,Kauaʻi,87,12127060.558451472,7.174038554575273
Waiheʻe,Koʻolaupoko,Oʻahu,87,5278760.073462881,16.481143069442016
Keʻei 1,Kona,Hawaiʻi,86,4818860.072275452,17.846544350766145
Kapaeloa,Waialua,Oʻahu,85,7799589.983034842,10.898008765189765
Kaʻieʻie,Hilo,Hawaiʻi,85,2177736.413390411,39.03135360062592
Kaʻonoʻulu,Kula,Maui,83,23326585.59306305,3.5581718408322414
Kahuā 1,Kohala,Hawaiʻi,80,16089809.379552603,4.972091223260005
Kapaʻau,Kohala,Hawaiʻi,79,4885007.042231012,16.171931650669684
Kēōkea,Kula,Maui,79,21168596.724419903,3.731943171691977
Kaluako‘i,Kona,Molokaʻi,78,206172874.34463015,0.37832328936549814
Waipake,Koʻolau,Kauaʻi,77,2846213.897469803,27.053483249607712
Waiʻōhinu,Kaʻū,Hawaiʻi,76,61961488.00686118,1.226568348255037
Keonepokonui,Puna,Hawaiʻi,74,12554995.478789598,5.894068231646563
Papaʻanui,Hāmākua,Hawaiʻi,72,1939932.6130412184,37.114691260912466
Puʻuʻeo,Hilo,Hawaiʻi,71,12341334.585069012,5.753024481314877
"Kaulana, Awalua, ʻŌhiki",Kona,Hawaiʻi,70,21157612.004175678,3.3085019229100503
Kaʻohe,Hāmākua,Hawaiʻi,70,77790357.16498494,0.8998544620580359
Moloaʻa,Koʻolau,Kauaʻi,70,11098975.915234122,6.306888179108497
Kalihikai,Haleleʻa,Kauaʻi,69,9808776.094887165,7.034516776865396
Waiāhole,Koʻolaupoko,Oʻahu,69,10966502.574023854,6.291887457669411
Kawailoa,Waialua,Oʻahu,68,48022504.73497718,1.4160027756834646
Kamehameiki,Kula,Maui,67,1802138.2710494092,37.178057353493195
Lāʻiemaloʻo,Koʻolauloa,Oʻahu,66,12158918.971861392,5.428114140141864
"Kahoahuna, Paʻana",Hilo,Hawaiʻi,65,5455217.240831535,11.915199180975621
Kailua,Koʻolaupoko,Oʻahu,65,45823910.29671422,1.4184734471396867
East Waiakalua,Koʻolau,Kauaʻi,64,2119564.236179659,30.19488577300906
Halelua,Kohala,Hawaiʻi,64,3033130.9176078923,21.100309132213198
ʻAlaeloa,Kāʻanapali,Maui,64,3385342.62264331,18.905028865299354
Maulili,Kohala,Hawaiʻi,63,824607.5893728435,76.39997595452006
Hanakaʻōʻō,Lāhainā,Maui,60,14241074.863268627,4.2131651280589315
Kahauloa 2,Kona,Hawaiʻi,60,19822444.79092088,3.026871843148295
Waiohonu,Hāna,Maui,58,6049458.58134147,9.58763486353823
Honopou,Hāmākualoa,Maui,57,23001801.84324564,2.47806673531264
Aleamai,Hilo,Hawaiʻi,55,2871660.31264285,19.152683121278482
East Kaupakulua,Hāmākualoa,Maui,55,4531307.919791818,12.1377758858036
Kahakuloa,Kāʻanapali,Maui,55,41889271.59155532,1.3129853518648373
Kaimū,Puna,Hawaiʻi,55,19751310.049947098,2.7846254178034795
Pāpā 1,Kona,Hawaiʻi,55,7004619.930958139,7.851960640564938
Haina,Hāmākua,Hawaiʻi,54,1610589.9977630377,33.52808602748128
Kēōkea,Kona,Hawaiʻi,54,18272969.086486273,2.9551847728968994
Waikoekoe,Hāmākua,Hawaiʻi,53,21405833.66769132,2.4759605639650943
"ʻŌlelomoana 1-4, Opihihali",Kona,Hawaiʻi,53,26113215.358144112,2.0296236703562633
Hāʻena,Haleleʻa,Kauaʻi,52,7475958.1997676315,6.955630115965104
"Kukuihala, Kamāʻili",Puna,Hawaiʻi,51,11234290.014890913,4.539672728085186
Kāhili,Koʻolau,Kauaʻi,51,7545786.673024957,6.75873864580843
"Puaʻakuloa, Kapena",Hilo,Hawaiʻi,50,6975815.9311618,7.167620317595258
Waikā,Kohala,Hawaiʻi,50,10974186.242486427,4.556146478216819
Keālia 1,Kona,Hawaiʻi,49,25683057.223588433,1.9078725547905673
Kapaka,Koʻolauloa,Oʻahu,48,928624.5806255788,51.689348959150145
"Kaupakuea, Makea",Hilo,Hawaiʻi,48,7213976.0755402045,6.65375092700257
Nāmāhana,Koʻolau,Kauaʻi,47,1584787.9436055766,29.656964636586988
Kulaʻimano,Hilo,Hawaiʻi,46,1431584.4086007052,32.132230362135935
Kawela,Hāna,Maui,45,8488010.21204342,5.301595883585373
Kokoiki,Kohala,Hawaiʻi,45,1672914.116102499,26.899169280034254
Waʻawaʻa,Puna,Hawaiʻi,45,3438747.4833978117,13.086160067658033
Maunalua,Kona,Oʻahu,44,30283886.11545379,1.4529178927781965
Opihikao,Puna,Hawaiʻi,44,4712499.518311903,9.336870980893288
ʻAlae 1-2,Kula,Maui,44,8133180.843820961,5.409937494925889
Hāliʻimaile,Hāmākuapoko,Maui,43,16720241.827504907,2.571733139006681
Koʻolau,Koʻolau,Maui,43,78572520.80594984,0.547265119649106
Halaʻula,Kohala,Hawaiʻi,42,2454704.683626236,17.11000116639493
Mākao,Koʻolauloa,Oʻahu,42,579210.9160172371,72.5124455333126
"Pihā, Kahuku",Hilo,Hawaiʻi,42,20263470.576263413,2.072695288890873
Kaʻohe 1-3,Kona,Hawaiʻi,41,8516499.005936038,4.814184792533037
Kualoa 2,Koʻolaupoko,Oʻahu,40,1096035.2284424491,36.49517730998765
Kahana,Kāʻanapali,Maui,39,12379052.423351277,3.1504834672508686
Mokulēʻia 2,Waialua,Oʻahu,39,9430594.928113878,4.1354761069989054
Waipiʻo,ʻEwa,Oʻahu,39,70720999.7721237,0.5514627921786358
Hāmākuapoko,Hāmākuapoko,Maui,38,24884355.826936066,1.5270638414062103
Kalihi,Kona,Oʻahu,38,16097902.328160333,2.3605560044631377
Papaʻa,Koʻolau,Kauaʻi,38,6008519.658623546,6.324353111745527
Kolo,Kona,Hawaiʻi,37,3748929.459309295,9.869484182510305
Paukaʻa,Hilo,Hawaiʻi,37,34726766.165468395,1.0654605679002747
ʻŌpana,Hāmākualoa,Maui,37,6520681.679362706,5.674253370947586
Kaluanui,Koʻolauloa,Oʻahu,36,6639236.553089962,5.42231018764428
Launiupoko,Lāhainā,Maui,36,15730814.323873207,2.2885019973420015
Hanamāʻulu,Puna,Kauaʻi,35,73873310.66418923,0.4737840999045217
Kikahi,Waialua,Oʻahu,35,3905367.7450238448,8.962024138340473
Kukuihaele,Hāmākua,Hawaiʻi,35,2747878.155373551,12.737100417482683
ʻAlae,Hilo,Hawaiʻi,35,4101259.4876748556,8.533963799457785
"Halepuaʻa, Kanekiki",Puna,Hawaiʻi,34,6713857.779444862,5.0641525508768375
Honopueo,Kohala,Hawaiʻi,34,3297262.6168324575,10.311583865486087
Kaʻapoko,Hilo,Hawaiʻi,34,560357.4040306006,60.6755612675786
Puʻuanahulu,Kona,Hawaiʻi,34,287917464.9910665,0.11808939760238216
Waipiʻo,Hāmākua,Hawaiʻi,34,48819347.50159308,0.6964451951941902
Kapoho,Puna,Hawaiʻi,33,17014550.80889341,1.9395163804589592
Waikane,Koʻolaupoko,Oʻahu,33,9129178.700142637,3.6147830033696677
Kaiwikinui,Hilo,Hawaiʻi,32,22221963.922940936,1.4400167379879807
Kukuipahu,Kohala,Hawaiʻi,32,10545303.661681855,3.0345261764511737
Punaluʻu,Koʻolauloa,Oʻahu,32,15067342.443403818,2.123798547766395
Wailea,Hilo,Hawaiʻi,32,1071284.3151516772,29.870688432014703
Kalamaʻula,Kona,Molokaʻi,32,28291624.836814173,1.131076782778497
"Kamāʻoa, Puʻuʻeo, Ke",Kaʻū,Hawaiʻi,31,59428431.0941589,0.5216358471736086
Pāhoa,Kohala,Hawaiʻi,31,3094703.375786632,10.017115127268124
West Waiakalua,Koʻolau,Kauaʻi,31,1334583.3604654074,23.22822306820116
Kamiloloa (Government),Kona,Molokaʻi,31,5993442.37775258,5.172319686441097
Honomakaʻu,Kohala,Hawaiʻi,30,1464088.6595863253,20.49056237378167
Kalaoa,Hilo,Hawaiʻi,30,2316486.047586735,12.950649986108637
"Kaʻalaʻala, Kanaio",Kaʻū,Hawaiʻi,30,63330520.011651665,0.47370525292513854
Nāpili 2-3,Kāʻanapali,Maui,30,2034380.3193125147,14.74650522088122
"Apuakohau, Kukuiwaluhia",Kohala,Hawaiʻi,29,4760620.576127797,6.0916427882156645
Onomea,Hilo,Hawaiʻi,29,11813829.45929118,2.454750180703893
Paihaʻaloa,Hilo,Hawaiʻi,29,863833.8774127285,33.57126961361829
