CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,sample_ID
0.016716225,0.060095142,0.015283222,0.017773032,0.029512387,0,0.008052856,0.012281226,0.006089872,0.021463514,0.049635441,0.705985466,1.243806993,1.555713355,1.162911279,1.924899464,0.084535826,7.870376836,Group001Sample0001,4.17.26,M30
0.025509555,0.114292819,0.023898379,0.027182785,0.061287049,0.013205882,0.012176828,0.020566072,0.009450855,0.032180029,0.057603648,0.711420127,0.855818369,1.62663131,1.137432173,4.039517121,0.109120418,15.00712133,Group001Sample0002,4.17.26,M264
0.038807982,0.035679154,0.037386754,0.040696916,0.027583929,0.022264709,0.017025445,0.031600311,0.01302801,0.046585683,0.063164411,0.747603992,1.572502426,1.540708814,1.088538367,1.724564401,0.035188424,13.86491431,Group001Sample0003,4.17.26,OA246
0.029527652,0.111358236,0.026358078,0.036981313,0.123567873,0.076329441,0.012380241,0.02182107,0.01025301,0.033080116,0.073038379,0.772506303,0.646139937,1.75905893,1.403035303,6.526426367,0.142862567,20.45839744,Group001Sample0004,4.17.26,M213
0.009565665,0.019941473,0.00966531,0.011123557,0.012844065,0,0.005402776,0.007920239,0.003994248,0.013673859,0.044354138,0.737629091,1.400725083,1.696034133,1.150874328,0.922852945,0.063958686,5.119714114,Group001Sample0006,4.17.26,OA287
0.045179381,0.055635598,0.042549417,0.048469379,0.032961453,0.030060818,0.019777878,0.035513266,0.015200915,0.052599885,0.047941234,0.714225966,1.621530877,1.60540462,1.139131457,2.207676932,0.040051655,15.59598208,Group001Sample0007,4.17.26,OA231
0.025112013,0.066213583,0.023087386,0.024829221,0.030996719,0.020003656,0.011779251,0.018393698,0.009245956,0.032370459,0.043359436,0.611562055,1.674702299,1.656136085,1.075445288,2.145596438,0.066442601,10.23818061,Group002Sample0001,4.17.26,M273
0.035994407,0.108082799,0.031643958,0.039658213,0.069119467,0.008158789,0.015212632,0.026836429,0.012021389,0.042698229,0.055162393,0.794299261,0.957017421,1.678108845,1.253263376,4.498874786,0.091393381,18.41036046,Group002Sample0002,4.17.26,M219
0.012166948,0.047532612,0.012082039,0.015511204,0.029709048,0.050567929,0.024052486,0.009762919,0.004908191,0.013077865,0.03372295,0.765897421,0.409996114,1.670690389,1.283823332,1.882807337,0.097426701,8.405378159,Group002Sample0003,4.17.26,M94
0.019574937,0.054361038,0.018929414,0.024256174,0.029258129,0.021042558,0.009651535,0.015626967,0.006911967,0.022311614,0.05591523,0.76106209,0.795983468,1.564509064,1.281401222,2.023813991,0.072502223,9.94642296,Group002Sample0004,4.17.26,M11
0.068311861,0.065565372,0.063434605,0.074017698,0.04387102,0.081979402,0.03062551,0.053475496,0.023397322,0.079581552,0.079887501,0.694640324,2.054866389,1.623711249,1.166834697,2.771135971,0.033723235,21.93610415,Group002Sample0005,4.17.26,OA239
0.028040653,0.040548441,0.025560971,0.030355786,0.037088253,0.014103873,0.012050349,0.020483586,0.010121467,0.031841551,0.045274939,0.642142138,2.190947609,1.742249133,1.18758346,2.040255086,0.055737188,11.792255,Group002Sample0006,4.17.26,OA367
0.010493974,0.041112872,0.009104497,0.014369815,0.035805601,0.040491122,0.004458928,0.007064707,0.003493501,0.011914829,0.02385952,0.85367332,0.354755945,1.60875896,1.57832058,2.160033974,0.116760672,9.044780146,Group002Sample0007,4.17.26,M216
0.076388247,0.018949181,0.070498596,0.080489346,0.042913397,0.039703505,0.034589326,0.056731371,0.02542784,0.095140431,0.073496152,0.723911834,5.887585678,1.511983492,1.141715576,1.924053019,0.02139562,20.26897413,Group003Sample0001,4.17.26,OA39
0.038800717,0.039014221,0.035981803,0.041216546,0.049660497,0.019168305,0.01859599,0.029132176,0.014108631,0.042150124,0.04885835,0.667423208,2.174310567,1.732864121,1.145483062,2.668946706,0.055990831,13.43554095,Group003Sample0002,4.17.26,OA181
0.040496746,0.024331639,0.041097623,0.041196798,0.036433504,0.022780916,0.021487598,0.032617154,0.016600196,0.052577321,0.028493864,0.752417463,3.281088927,1.546653095,1.002413161,1.865969352,0.035566434,13.12396035,Group003Sample0003,4.17.26,OA563
0.02246172,0.039361074,0.021294954,0.025960886,0.037969627,0.023189947,0.011781741,0.016760175,0.0089355,0.02521466,0.072862268,0.844952706,1.504169942,1.830058471,1.219109762,2.168756554,0.068367618,10.75131297,Group003Sample0004,4.17.26,OA358
0.008432716,0.040993181,0.008985855,0.013680366,0.021010969,0.094987145,0.003906207,0.007259243,0.003451359,0.0115001,0.027959939,0.885456625,0.379841973,1.983069401,1.522433473,1.414135308,0.09090731,6.878602298,Group003Sample0005,4.17.26,M96
0.036878766,0.158959945,0.035256218,0.043056877,0.170633923,0.036247982,0.016759606,0.027625782,0.012372669,0.04361156,0.112079956,0.855449113,0.882764935,1.679957156,1.221256274,7.942590683,0.131703849,26.39580828,Group003Sample0006,4.17.26,OA469
0.035060679,0.038731765,0.031406714,0.042758431,0.031196941,0.0714668,0.014599964,0.02651301,0.011496097,0.038086792,0.044411187,0.783673699,1.331167622,1.654658353,1.361442356,1.949905993,0.044170556,13.76403665,Group003Sample0007,4.17.26,OA242
0.032254514,0.073820089,0.028231556,0.034988534,0.046376205,0.077583042,0.01397589,0.02362098,0.011004175,0.036011586,0.109477543,0.736088129,0.957324458,1.583792091,1.239341322,2.846786775,0.066668284,15.53424457,Group004Sample0001,4.17.26,OA238
0.014476521,0.019297138,0.01572477,0.017131321,0.028440922,0.020196621,0.006993286,0.012279547,0.005208007,0.016398542,0.017912018,0.925818218,1.461820114,1.576868324,1.089448101,1.341188536,0.064339523,6.788552816,Group004Sample0002,4.17.26,OA611
0.018858935,0.020384772,0.01893935,0.021066697,0.026399738,0.009965905,0.009640167,0.015761431,0.007815267,0.022646427,0.040592676,0.8594303,2.131881,1.525679048,1.112324212,1.192176932,0.045470068,7.880325774,Group004Sample0003,4.17.26,OA541
0.041768872,0.044105266,0.039655896,0.044456489,0.03609386,0.025977084,0.019774067,0.034141032,0.016572811,0.04681136,0.050209905,0.67426771,2.705182545,1.562564897,1.121056216,1.924022818,0.036638667,13.8313887,Group004Sample0004,4.17.26,OA228
0.034454972,0.054121243,0.032553455,0.038989513,0.046526253,0.026118755,0.014485381,0.028024649,0.011181773,0.039587065,0.055064698,0.802495767,1.024224534,1.59615447,1.197707367,2.759114093,0.05983896,14.92281483,Group004Sample0005,4.17.26,M231
0.009180702,0.059024172,0.013914188,0.012981219,0.024197629,0.064495781,0.007196236,0.007846334,0.003097184,0.009135441,0.011838188,1.034400921,0.794072672,1.629612374,0.932948367,1.962282449,0.102661026,9.339602132,Group004Sample0006,4.17.26,M182
0.033927386,0.108953192,0.030900096,0.039625378,0.069853448,0.023645835,0.014631261,0.025403974,0.011487819,0.040115745,0,0.743636344,0.941610364,1.739075885,1.282370709,4.608750951,0.098980711,17.06329648,Group004Sample0007,4.17.26,M254
0.013924697,0.024451915,0.013992087,0.015386935,0.022969188,0.002704151,0.006813933,0.010766566,0.005589143,0.016881438,0,0.899121334,1.516333161,1.642558041,1.099688319,1.297671781,0.063372192,6.858515518,Group005Sample0001,4.17.26,OA50
0.024516517,0.046200118,0.024605014,0.029187362,0.047500814,0.082610901,0.010943149,0.018775633,0.008352734,0.029418046,0.002695455,0.785917006,0.786989039,1.600488517,1.18623637,2.694730264,0.075067566,12.95515051,Group005Sample0002,4.17.26,M176
0.033558258,0.027439222,0.033688549,0.041330145,0.043015793,0,0.016077962,0.026215053,0.012595698,0.041725607,0.043566957,0.829592642,2.214766459,1.602123072,1.226830648,2.129141802,0.048146064,12.16982696,Group005Sample0003,4.17.26,OA465
0.007566756,0.051072687,0.007160271,0.011769832,0.032222976,0.092176308,0.004183159,0.005188018,0.003411965,0.010306292,0.014120408,0.912993323,0.282769575,1.592286349,1.643769142,2.105831896,0.137407006,8.160886241,Group005Sample0004,4.17.26,M89
0.029455686,0.039598041,0.028446079,0.040350635,0.071966727,0.01196296,0.013472529,0.022163594,0.009629246,0.032815026,0.072912795,0.836641624,1.413134849,1.780956659,1.418495526,3.43231526,0.081854362,14.19116291,Group005Sample0005,4.17.26,OA608
0.032804051,0.07352616,0.031353842,0.042189713,0.088245081,0.069308639,0.014571824,0.026230003,0.011430588,0.038284263,0.078876956,0.825124021,0.702767816,1.688012385,1.345599469,4.605433973,0.09236808,19.60969514,Group005Sample0006,4.17.26,M217
0.036398978,0.069193413,0.033812955,0.044468367,0.054672305,0.076226825,0.014503354,0.027624441,0.010625151,0.038330126,0.043210438,0.779928231,0.983172474,1.698410974,1.315128082,3.412680458,0.069257485,17.74565605,Group005Sample0007,4.17.26,OA98
0.030895842,0.031162072,0.031148739,0.034530398,0.04677773,0.006529739,0.014980096,0.025198124,0.011529687,0.034827479,0.076018187,0.842738504,1.668481314,1.644467154,1.108564871,2.280927408,0.056209408,12.24883469,Group006Sample0001,4.17.26,OA284
0.008283456,0.064284839,0.00764379,0.012189022,0.039693123,0.044842199,0.003452808,0.005725412,0.002930654,0.009499094,0.056642269,0.804782421,0.420092331,1.497843712,1.594630618,2.433251267,0.154707797,8.33639045,Group006Sample0002,4.17.26,M95
0.099872416,0.141887618,0.091162025,0.11429126,0.104663073,0.056789612,0.041713239,0.073301042,0.032723455,0.113432658,0.144171798,0.757238257,1.783293542,1.620362785,1.253715671,6.399637381,0.052092462,36.53090363,Group006Sample0003,4.17.26,M294
0.057793883,0.025878791,0.053897465,0.059096927,0.038699903,0.038611546,0.027180594,0.042774788,0.02057015,0.070656261,0.073830285,0.692359827,3.673830289,1.524007285,1.096469516,1.947226217,0.028014742,16.55657373,Group006Sample0004,4.17.26,OA582
0.023409441,0.022992218,0.02169927,0.025407698,0.027147501,0.023233353,0.011071501,0.016422602,0.00789277,0.029811108,0.079947858,0.78446894,2.187261166,1.592461815,1.170901078,1.397122262,0.045480996,8.94173744,Group006Sample0005,4.17.26,OA207
0.052621097,0.068323616,0.049801737,0.057336486,0.052938695,0.07563987,0.0210194,0.042251802,0.017515759,0.057513235,0.08630657,0.763363594,1.945526487,1.620004528,1.151294917,3.189708872,0.048219154,19.64102645,Group006Sample0006,4.17.26,M212
0.028467075,0.038071977,0.027796751,0.030430648,0.0334276,0.046204702,0.014599235,0.022352352,0.010731204,0.035775531,0.056513159,0.754890564,1.02608587,1.463701496,1.094755583,2.092587337,0.054863724,11.1940447,Group006Sample0007,4.17.26,M148
0.022458538,0.074280151,0.021544346,0.029460882,0.066369286,0.035566477,0.008276774,0.016223107,0.00624802,0.020839436,0.072060865,0.816603943,0.923081869,1.819807343,1.367453048,3.77168776,0.109580384,14.96477714,Group007Sample0001,4.17.26,M6
0.020678798,0.036732386,0.018925747,0.021548439,0.022414761,0.033147241,0.009607383,0.014153141,0.007585284,0.022766165,0.032503356,0.676158093,1.58015042,1.687768553,1.138577968,1.552972334,0.058607747,8.216507086,Group007Sample0002,4.17.26,OA323
0.028591231,0.058668361,0.026663877,0.030951583,0.041137709,0.018485847,0.012858585,0.022359641,0.009721282,0.033691202,0.051326476,0.757976271,1.654651107,1.63010206,1.160805809,2.368725376,0.062997289,11.72386908,Group007Sample0003,4.17.26,M220
0.036860205,0.04465855,0.034424473,0.04022989,0.036985409,0.019196225,0.015681846,0.029220552,0.012221523,0.040798112,0.066582905,0.745848394,1.25590674,1.600078663,1.168642173,2.260079586,0.047457089,14.48329105,Group007Sample0004,4.17.26,OA251
0.191157815,0.090379337,0.174794226,0.198024884,0.093665466,0.034600383,0.080587047,0.142160496,0.061577782,0.214402803,0.209643555,0.687739981,4.781225488,1.57312078,1.132902885,4.930333031,0.022905808,48.86871902,Group007Sample0005,4.17.26,M236
0.043390683,0.071842024,0.03797522,0.047090713,0.050667033,0.097889367,0.021972515,0.030983991,0.018937861,0.0551247,0.055900761,0.711482581,1.162841753,1.587901422,1.240037912,3.08651475,0.052092899,18.67980098,Group007Sample0006,4.17.26,M58
0.017478046,0.044906725,0.015912126,0.01807483,0.020144397,0.070607228,0.007507294,0.013418986,0.005598182,0.018498276,0.04480196,0.833822109,0.590000362,1.481268263,1.135915442,1.711437491,0.073266579,8.872106586,Group007Sample0007,4.17.26,M183
0.024039126,0.080118446,0.021135228,0.025343476,0.047506694,0.036063863,0.010947664,0.019074107,0.008029387,0.027027267,0.070545704,0.713540765,0.680527472,1.512831323,1.199110648,2.988288323,0.089353746,12.61601791,Group008Sample0001,4.17.26,M1
0.020207146,0.128103374,0.017255889,0.031767236,0.083519002,0.031656463,0.008028603,0.013631551,0.00623458,0.020434802,0.08980503,0.714955705,0.539882626,1.661085746,1.840950432,4.53949188,0.133883936,15.74743111,Group008Sample0006,4.17.26,M150
0.052845628,0.073430491,0.04949483,0.058498259,0.061595591,0.055626559,0.025007157,0.040763904,0.018929203,0.060194421,0.049493492,0.748250364,1.507867052,1.552669079,1.181906463,3.428935988,0.05168251,18.95963358,Group009Sample0002,4.17.26,M227
0.020524462,0.079513288,0.018819427,0.02522396,0.045265435,0.048764804,0.008473133,0.015443939,0.006130527,0.021137356,0.022090773,0.786962813,0.533309533,1.67886257,1.340314962,2.981243225,0.104442065,11.54436403,Group009Sample0003,4.17.26,M289
0.029633985,0.120123231,0.028462581,0.034704785,0.064929579,0.030478607,0.014530493,0.024275468,0.010591972,0.033209434,0.049979673,0.73525194,0.705198626,1.586061987,1.219312675,4.076861758,0.095296824,16.37344245,Group009Sample0004,4.17.26,M179
0.0156855,0.097520444,0.015453737,0.021969131,0.062412958,0.073453574,0.006513237,0.011522371,0.005386356,0.015061356,0.039481918,0.817610159,0.373716597,1.669040037,1.421606389,3.754942175,0.133777568,13.88344106,Group001Sample0001,4.20.26,M98
0.168786433,0.117687824,0.155334514,0.173925139,0.107364971,0.066034355,0.072624228,0.127742896,0.055608408,0.19466008,0.146148445,0.683949935,3.514013439,1.580194169,1.119681221,5.936426333,0.030459119,46.95210531,Group001Sample0002,4.20.26,M290
0.15239266,0.107597416,0.139562521,0.154809207,0.07660597,0.066025958,0.065143821,0.112663505,0.049010998,0.169800687,0.122158989,0.636601843,2.966284073,1.553294348,1.109246282,4.491771725,0.026154465,40.13297488,Group001Sample0003,4.20.26,M43
0.058734977,0.129217349,0.050955291,0.070789719,0.132763136,0.103247184,0.02196727,0.04565889,0.016646015,0.059793778,0.082895535,0.686557934,0.892925108,1.721966799,1.389251591,7.459017564,0.098151512,27.96911315,Group001Sample0004,4.20.26,OA97
0.128074783,0.044445799,0.114943273,0.126259947,0.063830705,0.002072281,0.055010405,0.091413311,0.040727941,0.142544002,0.106804635,0.62165328,5.262824578,1.560256463,1.098454428,3.279050499,0.023306736,30.6902578,Group001Sample0005,4.20.26,OA140
0.056471227,0.081171804,0.05045805,0.059777881,0.050101467,0.074133432,0.023535102,0.040587678,0.018041081,0.065883763,0.100887175,0.679217274,2.351644427,1.59404426,1.184704544,3.134316044,0.04630412,18.57574195,Group001Sample0006,4.20.26,M268
0.069116864,0.063868131,0.061493565,0.073430953,0.06791144,0.085007079,0.030435405,0.04977629,0.023811992,0.081535799,0.041562441,0.659897246,1.662986006,1.531943714,1.19412417,3.897969472,0.047011388,21.97309364,Group001Sample0007,4.20.26,M56
0.028981531,0.072105156,0.02473805,0.035834415,0.03959537,0.050700215,0.011361591,0.020041383,0.008600429,0.030762767,0.050872025,0.815164794,1.202167518,1.705256966,1.448554591,2.801473427,0.074866346,13.11422528,Group002Sample0001,4.20.26,M230
0.039606226,0.123263483,0.035447813,0.050099842,0.118937034,0.049833647,0.016895525,0.028601485,0.012647139,0.045714581,0.097179791,0.843990238,0.952316405,1.827411392,1.41334084,6.466796624,0.116987298,21.63334663,Group002Sample0002,4.20.26,M272
0.019544603,0.059727525,0.018983318,0.022015011,0.029569833,0.030685196,0.009274857,0.014834092,0.007886529,0.022731715,0.067922464,0.87745096,0.63912349,1.621970313,1.159702964,2.294982166,0.081855248,10.48626286,Group002Sample0003,4.20.26,M199
0.030103933,0.029709051,0.026311396,0.037821132,0.050928501,0,0.012307,0.021123918,0.009050382,0.030932294,0.096893711,0.795497003,1.27434977,1.609974836,1.437442984,3.073803365,0.077823231,13.68229298,Group002Sample0004,4.20.26,M262
0.334318778,0.096755674,0.309580594,0.343110758,0.150524805,0.04284506,0.14176184,0.256072702,0.109179974,0.379216082,0.302080532,0.671830189,5.942112874,1.575117579,1.108308352,7.449151669,0.020023208,81.00778788,Group002Sample0005,4.20.26,M171
0.06155286,0.059658211,0.057158497,0.064948076,0.047202107,0.079390596,0.028843946,0.046967063,0.021515233,0.067820939,0.092469573,0.710914413,1.606161369,1.563581796,1.136280329,2.98855622,0.039874335,20.33746571,Group002Sample0006,4.20.26,M26
0.019696729,0.065578511,0.019009872,0.026150371,0.060084275,0.058830409,0.008610178,0.014850785,0.006641961,0.021595317,0.014709481,0.913710735,0.480009855,1.564087711,1.375620585,3.693054752,0.127342588,12.18722178,Group002Sample0007,4.20.26,M181
0.013072986,0.059041392,0.011327225,0.016603882,0.033994322,0,0.005368507,0.009352733,0.004309875,0.013664779,0.036650743,0.736023477,0.729501716,1.870831353,1.465838509,2.134427132,0.114900438,7.774638746,Group003Sample0001,4.20.26,M23
0.185900185,0.124498955,0.167977043,0.196347584,0.190536706,0.056746122,0.077813422,0.137028106,0.058160444,0.20894059,0.099889182,0.708685544,2.294109213,1.58210732,1.168895343,9.805785354,0.045552701,55.375321,Group003Sample0002,4.20.26,M299
0.030178253,0.058264719,0.027783751,0.033839351,0.034007178,0.008855826,0.013421807,0.024128347,0.010672779,0.035653362,0.003547287,0.739912204,1.819223103,1.613466565,1.217954713,2.19079739,0.056234649,11.8341009,Group003Sample0003,4.20.26,M242
0.027992198,0.057367091,0.023313855,0.032470542,0.064698492,0.04759327,0.011808798,0.019697957,0.00865199,0.027343344,0.065892518,0.724079524,0.686707368,1.596049613,1.39275732,3.916453315,0.106871351,13.34580713,Group003Sample0004,4.20.26,M88
0.031490986,0.060440079,0.026890783,0.042241314,0.051045962,0.002434087,0.01237424,0.023216572,0.009290966,0.033375723,0.028580029,0.765924249,1.492710811,1.685245822,1.570847303,2.960298909,0.071550177,13.77434671,Group003Sample0005,4.20.26,M279
0.030634152,0.053984088,0.028037676,0.031445944,0.066633886,0.045145528,0.013338624,0.024508442,0.009530538,0.036323879,0.018865343,0.759687332,0.949286738,1.566999046,1.121560274,3.667001463,0.08774019,14.89001408,Group003Sample0006,4.20.26,OA245
0.016542108,0.046038084,0.014954249,0.017743806,0.027852358,0.094724371,0.007845545,0.012485316,0.005914007,0.018115902,0,0.748912867,0.578885223,1.510625115,1.186539475,1.897769758,0.080135452,9.26618314,Group003Sample0007,4.20.26,M121
0.058457209,0.095872617,0.053165319,0.070421255,0.084864608,0.065329,0.025354837,0.042971865,0.018898267,0.06541247,0.04819906,0.777457537,1.226393118,1.647344903,1.324571286,4.946143096,0.066553736,23.11414236,Group004Sample0001,4.20.26,M33
0.019829382,0.046932714,0.018410768,0.020104933,0.020321225,0.041015061,0.008813907,0.014915995,0.00621465,0.02000532,0.025787302,0.695291241,0.752355506,1.459209126,1.092020324,1.557381408,0.060262662,8.627493948,Group004Sample0002,4.20.26,M32
0.032750382,0.05338486,0.033456287,0.031199691,0.035965279,0.090085911,0.016541986,0.027745843,0.012584083,0.036695896,0.021847049,0.641226405,1.033732142,1.525861259,0.932550929,2.323800344,0.054470606,12.52751741,Group004Sample0003,4.20.26,M135
0.234573066,0.062340089,0.217586574,0.23263202,0.074533482,0.036020071,0.103016372,0.176983805,0.075281011,0.262097783,0.105683713,0.632579704,5.513281593,1.559011186,1.069146943,3.935845283,0.015325733,52.07084207,Group004Sample0004,4.20.26,M41
